Tipo;Data_Inicio;Hora_Inicio;Data_Termino;Hora_Termino;Sistema_Operacional;Tempo(ns);Tempo(ms);Gasto_Memoria(bytes);Linhas_Lidas;Algoritmo;Interacoes;Troca_ou_Colisao
Semente 1;07/10/2018;21:02:10;07/10/2018;21:02:10;Windows 10;4963211;16;1760193568;1000;Sondagem Linear;35034;33927
Semente 1;07/10/2018;21:02:10;07/10/2018;21:02:10;Windows 10;9749148;0;1760193568;1000;Sondagem Quadratica;108016;106909
Semente 1;07/10/2018;21:02:10;07/10/2018;21:02:10;Windows 10;433855;0;1760193568;1000;Duplo Hash;1107;0
Semente 1;07/10/2018;21:02:10;07/10/2018;21:02:10;Windows 10;466511;0;1760193568;1000;Encadeamento Separado;1107;553
Semente 1;07/10/2018;21:02:10;07/10/2018;21:02:10;Windows 10;5229589;0;1760193568;1000;Encadeamento Coalescido;51592;50244
Semente 1;07/10/2018;21:02:19;07/10/2018;21:02:19;Windows 10;5746950;0;1624073848;5000;Sondagem Linear;87037;85062
Semente 1;07/10/2018;21:02:20;07/10/2018;21:02:20;Windows 10;2258846;0;1632270760;5000;Sondagem Quadratica;135757;133782
Semente 1;07/10/2018;21:02:20;07/10/2018;21:02:20;Windows 10;1185405;0;1632270760;5000;Duplo Hash;1975;0
Semente 1;07/10/2018;21:02:20;07/10/2018;21:02:20;Windows 10;1067844;0;1632270760;5000;Encadeamento Separado;1975;987
Semente 1;07/10/2018;21:02:20;07/10/2018;21:02:20;Windows 10;4582071;0;1632270760;5000;Encadeamento Coalescido;155772;153389
Semente 1;07/10/2018;21:02:28;07/10/2018;21:02:28;Windows 10;2248116;0;1711595672;10000;Sondagem Linear;121440;119333
Semente 1;07/10/2018;21:02:28;07/10/2018;21:02:28;Windows 10;1128023;0;1712490400;10000;Sondagem Quadratica;9254;7147
Semente 1;07/10/2018;21:02:28;07/10/2018;21:02:28;Windows 10;1256314;0;1712490400;10000;Duplo Hash;2107;0
Semente 1;07/10/2018;21:02:28;07/10/2018;21:02:28;Windows 10;1248850;0;1712490400;10000;Encadeamento Separado;2107;1053
Semente 1;07/10/2018;21:02:28;07/10/2018;21:02:28;Windows 10;2686638;16;1712490400;10000;Encadeamento Coalescido;231423;228848
Semente 1;07/10/2018;21:02:38;07/10/2018;21:02:38;Windows 10;2189803;0;1694681048;50000;Sondagem Linear;140147;137892
Semente 1;07/10/2018;21:02:38;07/10/2018;21:02:38;Windows 10;3698033;0;1694681048;50000;Sondagem Quadratica;305504;303249
Semente 1;07/10/2018;21:02:38;07/10/2018;21:02:38;Windows 10;1368277;0;1694681048;50000;Duplo Hash;2255;0
Semente 1;07/10/2018;21:02:38;07/10/2018;21:02:38;Windows 10;1486771;16;1694681048;50000;Encadeamento Separado;2255;1127
Semente 1;07/10/2018;21:02:38;07/10/2018;21:02:38;Windows 10;1701366;0;1694681048;50000;Encadeamento Coalescido;215870;213143
Semente 1;07/10/2018;21:02:48;07/10/2018;21:02:48;Windows 10;1982672;0;1759871992;100000;Sondagem Linear;144927;142638
Semente 1;07/10/2018;21:02:48;07/10/2018;21:02:48;Windows 10;2548550;0;1760431672;100000;Sondagem Quadratica;172590;170301
Semente 1;07/10/2018;21:02:48;07/10/2018;21:02:48;Windows 10;1372476;0;1760431672;100000;Duplo Hash;2289;0
Semente 1;07/10/2018;21:02:48;07/10/2018;21:02:48;Windows 10;1533888;0;1760431672;100000;Encadeamento Separado;2289;1144
Semente 1;07/10/2018;21:02:48;07/10/2018;21:02:48;Windows 10;1763878;16;1760431672;100000;Encadeamento Coalescido;215667;212912
Semente 1;07/10/2018;21:03:02;07/10/2018;21:03:02;Windows 10;2238320;0;1346683784;500000;Sondagem Linear;148292;145957
Semente 1;07/10/2018;21:03:02;07/10/2018;21:03:02;Windows 10;1542752;0;1346913936;500000;Sondagem Quadratica;57285;54950
Semente 1;07/10/2018;21:03:02;07/10/2018;21:03:02;Windows 10;1472776;0;1346913936;500000;Duplo Hash;2335;0
Semente 1;07/10/2018;21:03:02;07/10/2018;21:03:02;Windows 10;1602465;0;1346913936;500000;Encadeamento Separado;2335;1167
Semente 1;07/10/2018;21:03:02;07/10/2018;21:03:02;Windows 10;2065245;0;1346913936;500000;Encadeamento Coalescido;249515;246669
Semente 1;07/10/2018;21:03:18;07/10/2018;21:03:18;Windows 10;2066178;0;1328912840;1000000;Sondagem Linear;149745;147392
Semente 1;07/10/2018;21:03:18;07/10/2018;21:03:18;Windows 10;2453382;0;1328912840;1000000;Sondagem Quadratica;162181;159828
Semente 1;07/10/2018;21:03:18;07/10/2018;21:03:18;Windows 10;1488170;0;1328912840;1000000;Duplo Hash;2353;0
Semente 1;07/10/2018;21:03:18;07/10/2018;21:03:18;Windows 10;1469044;0;1328912840;1000000;Encadeamento Separado;2353;1176
Semente 1;07/10/2018;21:03:18;07/10/2018;21:03:18;Windows 10;2090436;0;1328912840;1000000;Encadeamento Coalescido;256426;253556
Semente 2;07/10/2018;21:03:26;07/10/2018;21:03:26;Windows 10;465112;0;1196493960;1000;Sondagem Linear;35381;34248
Semente 2;07/10/2018;21:03:26;07/10/2018;21:03:26;Windows 10;1732155;16;1196493960;1000;Sondagem Quadratica;164993;163860
